0.190700,-0.091610,0.001085,0.366734
-0.366900,0.078790,0.924100,0.339504
-0.001775,-0.079720,-0.996300,0.608736
-0.744500,-0.044170,0.096160,0.657223
0.371700,0.080780,0.878700,0.210602
0.818800,-0.037850,0.213000,0.491437
-0.310500,-0.153700,-0.316700,0.629454
-0.060370,-0.092490,0.495900,0.027043
-0.001258,0.418300,0.816100,0.248642
0.099390,-0.015280,-0.531300,0.816215
-0.252700,-0.104300,0.101300,0.408655
0.000566,0.043210,0.840100,0.000000
0.543600,-0.059960,-0.003125,0.479803
-0.035540,0.053290,-0.214700,0.831918
0.312100,-0.161800,-0.309100,0.394511
0.000562,0.064420,0.207000,0.608593
-0.094610,-0.080070,-0.728900,0.509718
-0.489000,-0.068500,-0.037260,0.700557
0.000471,0.161800,0.595000,0.195037
-0.061720,-0.159300,-0.072560,0.462071
-0.042960,-0.152000,-0.369900,0.376568
-0.009971,-0.152300,0.149000,0.239500
-0.206100,0.057330,0.765900,0.254207
-0.263400,-0.081770,-0.114700,0.499362
0.127100,-0.090600,-0.214700,0.620388
0.089890,-0.091060,0.341300,0.181511
-0.065010,0.039380,0.006604,0.643948
0.197200,0.048390,0.771300,0.000000
0.369600,-0.082610,-0.102600,0.479023
0.057940,-0.031270,0.649700,0.000000
-0.101800,-0.021010,-0.510200,0.752635
0.364900,-0.096270,0.098740,0.528117
0.073130,-0.026350,-0.820100,0.409713
0.004686,0.072740,0.413300,0.273788
-0.101300,-0.066590,0.301800,0.459012
0.013390,-0.226700,-0.777100,0.146599
0.004382,0.227800,0.802800,0.003025
0.638900,-0.054960,0.157800,0.475712
-0.561500,-0.061450,0.134400,0.755478
-0.009981,-0.160900,-0.573600,0.200937
0.040180,0.049490,-0.374900,0.854411
0.010470,0.049130,-0.674300,0.889593
0.248600,-0.198500,-0.151800,0.112436
-0.130800,-0.092410,-0.224500,0.409582
0.085350,0.017870,-0.076590,0.796832
0.112300,-0.224500,-0.052050,0.260055
0.105600,-0.035970,0.138400,0.578594
0.091970,-0.035400,0.496700,0.083130
0.096840,-0.082060,-0.673100,0.315301
0.098140,-0.092620,-0.394200,0.322950
-0.069790,0.043500,0.690700,0.071267
-0.105500,-0.036210,0.140100,0.764249
-0.411400,-0.076460,0.089580,0.408655
0.000576,-0.165500,-0.225400,0.228105
-0.232800,-0.196700,-0.199000,0.305726
-0.097100,-0.005498,-0.336200,0.809387
-0.059060,-0.112400,-0.861700,0.497110
-0.164200,-0.093090,-0.005633,0.339151
-0.058360,0.043840,0.533600,0.301942
0.083620,-0.149200,0.054010,0.287145
-0.815600,-0.039540,0.206900,0.391924
0.513700,-0.083570,0.132800,0.479803
-0.361700,-0.090760,-0.029110,0.408655
0.269000,-0.084490,-0.209500,0.443722
